VESSEL,HAUL,YEAR,CRUISE,START_LATITUDE,START_LONGITUDE,STATIONID,GEAR_DEPTH,BOTTOM_DEPTH,SURFACE_TEMPERATURE,GEAR_TEMPERATURE,CPUE_NOHA
1,20,1982,198203,56.65333,-162.18667,F-10,75,75,4.3,0.2,0
1,20,1983,198303,57.99067,-162.12917,J-10,40,40,6.3,4.8,0
1,20,1984,198402,57.33233,-162.16433,H-10,53,53,5.1,2.7,0
1,21,1982,198203,56.99333,-162.17333,G-10,62,62,3.5,0.1,0
1,21,1983,198303,58.32917,-162.09533,K-10,49,49,7.8,4.9,0
1,21,1984,198402,56.99783,-162.17767,G-10,64,64,5.2,1.4,0
1,22,1982,198203,57.335,-162.15333,H-10,53,53,1.6,0.5,0
1,22,1983,198303,58.99083,-163.34833,M-08,22,22,7.5,3.4,0
1,22,1984,198402,56.67167,-162.20767,F-10,75,75,6.5,1.1,0
1,23,1982,198203,57.665,-162.13667,I-10,49,49,2.6,1,0
1,23,1983,198303,58.67233,-163.386,L-08,33,33,7.3,5.8,0
1,23,1984,198402,56.33967,-162.206,E-10,79,79,7.4,2.4,0
1,24,1982,198203,57.985,-162.13,J-10,40,40,2.1,1.5,0
1,24,1983,198303,58.353,-163.39467,K-08,37,37,8.9,4.6,0
1,24,1984,198402,56.01183,-162.25933,D-10,75,75,7.1,2.7,0
1,25,1982,198203,58.31167,-162.065,K-10,49,49,2.3,1.5,0
1,25,1983,198303,58.01517,-163.38417,J-08,46,46,7.2,4.3,0
1,25,1984,198402,55.34667,-163.42117,B-08,51,51,7.6,3.4,0
1,26,1982,198203,58.99167,-163.34667,M-08,22,22,3.6,3,0
1,26,1983,198303,57.6735,-163.38,I-08,49,49,6.4,4.5,0
1,26,1984,198402,55.65433,-163.404,C-08,82,82,7.8,2.7,0
1,27,1982,198203,58.685,-163.36167,L-08,33,33,2.4,1.8,0
1,27,1983,198303,57.3395,-163.4015,H-08,55,55,8,3.8,0
1,27,1984,198402,55.99033,-163.40217,D-08,91,91,7.8,2.3,0
1,28,1982,198203,58.34333,-163.385,K-08,37,37,2,1.1,0
1,28,1983,198303,57.00633,-163.40617,G-08,68,68,8.9,2.6,0
1,28,1984,198402,56.31933,-163.42017,E-08,90,90,7.8,2,0
1,29,1982,198203,58.01,-163.39167,J-08,46,46,2,0.7,0
1,29,1983,198303,56.6795,-163.38717,F-08,77,77,8.7,2.2,0
1,29,1984,198402,56.65067,-163.39033,F-08,79,79,6.4,1.2,0
1,30,1982,198203,57.685,-163.39167,I-08,48,48,2.2,0.7,0
1,30,1983,198303,56.34,-163.40433,E-08,88,88,8.9,3,0
1,30,1984,198402,56.98617,-163.38633,G-08,70,70,6.2,0.3,0
1,31,1982,198203,57.345,-163.4,H-08,57,57,2.9,0.3,0
1,31,1983,198303,56.00817,-163.40083,D-08,91,91,7,3.2,0
1,31,1984,198402,57.31917,-163.3875,H-08,55,55,5.4,1.8,0
1,32,1982,198203,57.01667,-163.395,G-08,70,70,3.1,0.5,0
1,32,1983,198303,55.65417,-163.41517,C-08,82,82,9.3,3.1,0
1,32,1984,198402,57.65367,-163.3735,I-08,49,49,5.1,3.1,0
1,33,1982,198203,56.68167,-163.38,F-08,77,77,5.6,0.3,0
1,33,1983,198303,55.33117,-163.40783,B-08,53,53,8.5,3.7,5.948185567
1,33,1984,198402,58.01167,-163.431,J-08,46,46,3.8,3.2,0
1,34,1982,198203,56.34,-163.39667,E-08,88,88,5.4,1.4,0
1,34,1983,198303,55.32183,-163.98233,B-07,82,82,8.3,4.9,51.00368092
1,34,1984,198402,58.32233,-163.37367,K-08,44,44,4.1,3.5,0
1,35,1982,198203,56.005,-163.39,D-08,91,91,5.5,2.7,4.014399741
1,35,1983,198303,55.64917,-164.00717,C-07,99,99,8.9,3.3,0
1,35,1984,198402,58.65367,-163.35233,L-08,33,33,4.9,3.8,0
1,36,1982,198203,55.68333,-163.4,C-08,84,84,5.8,2.5,2.340653322
1,36,1983,198303,56.0025,-164.0045,D-07,91,91,8.8,3.3,9.721695542
1,36,1984,198402,58.9845,-163.35217,M-08,24,24,4.5,4.5,0
1,37,1982,198203,55.35,-163.41667,B-08,55,55,5.7,4.4,0
1,37,1983,198303,55.05917,-164.50983,A-06,62,62,7.2,5.7,0
1,37,1984,198402,59.32417,-164.6345,N-06,22,22,6.6,6.8,0
1,38,1982,198203,55.00833,-164.57667,A-06,59,59,5.5,4.5,0
1,38,1983,198303,55.3215,-164.579,B-06,104,104,9.2,4.6,34.48341896
1,38,1984,198402,58.977,-164.7175,M-06,29,29,5,4.9,0
1,39,1982,198203,55.32667,-164.59,B-06,106,106,5.4,3.1,37.96059177
1,39,1983,198303,55.65483,-164.5775,C-06,101,101,8.7,3.5,19.70383553
1,39,1984,198402,58.68,-164.65717,L-06,42,42,6.7,4.8,0
1,40,1982,198203,55.66,-164.58,C-06,101,101,5.5,2.2,6.015730606
1,40,1983,198303,55.99083,-164.57033,D-06,95,95,8.6,2.8,20.7924848
1,40,1984,198402,58.3465,-164.63917,K-06,46,46,5,3.4,0
1,41,1982,198203,55.985,-164.59167,D-06,97,97,5.6,1.7,0.613253174
1,41,1983,198303,56.326,-164.577,E-06,90,90,8.5,2.4,0
1,41,1984,198402,58.013,-164.62533,J-06,46,46,4.1,4,0
1,42,1982,198203,56.31833,-164.58167,E-06,91,91,5.4,1.8,0
1,42,1983,198303,56.656,-164.59,F-06,77,77,8.2,1.6,0
1,42,1984,198402,57.67633,-164.63133,I-06,55,55,6.4,1.7,0
1,43,1982,198203,56.66,-164.61167,F-06,79,79,6.1,0.3,0
1,43,1983,198303,56.9955,-164.5905,G-06,71,71,8.2,1.8,0
1,43,1984,198402,57.344,-164.6485,H-06,68,68,7,1.5,0
1,44,1982,198203,56.99,-164.605,G-06,73,73,4.9,0.2,0
1,44,1983,198303,57.32983,-164.6015,H-06,68,68,8,2.6,0
1,44,1984,198402,57.01017,-164.59567,G-06,73,73,7.8,0.1,0
1,45,1982,198203,57.325,-164.61667,H-06,70,70,4,0.5,0
1,45,1983,198303,57.65733,-164.60767,I-06,55,55,7.2,3.2,0
1,45,1984,198402,56.68,-164.6025,F-06,79,79,8.9,0.4,0
1,46,1982,198203,57.65667,-164.62,I-06,57,57,3.7,0.4,0
1,46,1983,198303,57.997,-164.65267,J-06,46,46,6.5,4.8,0
1,46,1984,198402,56.34567,-164.59017,E-06,90,90,10.1,1.5,0
1,47,1982,198203,57.99,-164.625,J-06,48,48,2.4,0.8,0
1,47,1983,198303,58.33783,-164.65933,K-06,46,46,7.5,4.5,0
1,47,1984,198402,56.01067,-164.58733,D-06,97,97,8.9,2.1,0
1,48,1982,198203,58.31833,-164.63,K-06,46,46,3.5,1.1,0
1,48,1983,198303,58.65583,-164.65983,L-06,40,40,4.9,4.6,0
1,48,1984,198402,55.67717,-164.59017,C-06,99,99,9.5,3.1,182.514048
1,49,1982,198203,58.65167,-164.65167,L-06,40,40,3.6,1.5,0
1,49,1983,198303,58.9865,-164.64067,M-06,29,29,7.2,6.9,0
1,49,1984,198402,55.34417,-164.58967,B-06,104,104,9.6,4.8,124.5976623
1,50,1982,198203,58.98833,-164.63667,M-06,29,29,3.2,3,0
1,50,1983,198303,59.31883,-164.64317,N-06,24,24,9.4,9,0
1,50,1984,198402,55.01567,-164.534,A-06,60,60,9.6,5,0
1,51,1982,198203,59.32,-164.655,N-06,22,22,5.1,5.1,0
1,51,1983,198303,59.6625,-165.93117,O-04,24,24,8.4,8.2,0
1,51,1984,198402,54.9845,-165.769,A-04,134,134,7,4.2,14.82055704
1,52,1982,198203,59.66167,-165.95167,O-04,24,24,6.3,3.6,0
1,52,1983,198303,59.345,-165.94183,N-04,26,26,6.9,6.8,0
1,52,1984,198402,55.3225,-165.79433,B-04,124,124,7.3,3.3,18.3512908
1,53,1982,198203,59.34167,-165.96167,N-04,26,26,3.2,3,0
1,53,1983,198303,59.01383,-165.9495,M-04,31,31,5.9,5.5,0
1,53,1984,198402,55.65483,-165.79983,C-04,119,119,7.4,3.3,0
1,54,1982,198203,59.01667,-165.92833,M-04,31,31,2.8,2.2,0
1,54,1983,198303,58.6755,-165.95967,L-04,37,37,5.9,4.7,0
1,54,1984,198402,55.992,-165.7715,D-04,112,112,8.4,2.6,42.75795813
1,55,1982,198203,58.68167,-165.91833,L-04,38,38,2.8,1.7,0
1,55,1983,198303,58.35033,-165.923,K-04,46,46,5.9,3.7,0
1,55,1984,198402,56.32567,-165.79167,E-04,95,95,8.2,1.2,0
1,56,1982,198203,58.345,-165.91667,K-04,46,46,4.4,1.2,0
1,56,1983,198303,58.01583,-165.89,J-04,59,59,7.7,2.7,0
1,56,1984,198402,56.6865,-165.8555,F-04,80,80,6.8,NA,0
1,57,1982,198203,57.995,-165.9,J-04,59,59,4.5,1,0
1,57,1983,198303,57.67533,-165.89533,I-04,66,66,7.1,2.3,0
1,57,1984,198402,56.998,-165.84133,G-04,75,75,6.1,NA,0
1,58,1982,198203,57.67667,-165.88833,I-04,66,66,5.1,0.2,0
1,58,1983,198303,57.34617,-165.88833,H-04,70,70,8.9,2.4,0
1,58,1984,198402,57.3425,-165.87233,H-04,71,71,7.2,NA,0
1,59,1982,198203,57.34667,-165.87667,H-04,71,71,5.5,0.8,0
1,59,1983,198303,57.0155,-165.86717,G-04,75,75,8.8,2,0
1,59,1984,198402,57.6655,-165.865,I-04,68,68,5.9,1.9,0
1,60,1982,198203,57.01167,-165.85833,G-04,75,75,6.2,1.7,0
1,60,1983,198303,56.68067,-165.83283,F-04,80,80,9.2,1.5,0
1,60,1984,198402,57.98933,-165.90083,J-04,59,59,5.7,2.3,0
1,61,1982,198203,56.67333,-165.825,F-04,80,80,7.7,2,0
1,61,1983,198303,56.345,-165.78617,E-04,93,93,8.6,2.4,9.623958688
1,61,1984,198402,58.32517,-165.93867,K-04,46,46,4.9,3.2,0
1,62,1982,198203,56.33833,-165.79833,E-04,95,95,7.5,2.1,2.056993404
1,62,1983,198303,56.01017,-165.8,D-04,108,108,9.8,3.8,20.9115851
1,62,1984,198402,58.663,-165.9565,L-04,38,38,3.6,3.4,0
1,63,1982,198203,56.00667,-165.79167,D-04,110,110,7.8,3.9,10.74464124
1,63,1983,198303,55.68167,-165.78467,C-04,121,121,9.2,4.3,9.508128209
1,63,1984,198402,58.99617,-165.91983,M-04,33,33,4,4.5,0
1,64,1982,198203,55.68167,-165.80167,C-04,121,121,7.8,3.9,4.736928901
1,64,1983,198303,55.35333,-165.78033,B-04,123,123,7.5,4.4,6.315512363
1,64,1984,198402,59.31917,-165.95917,N-04,26,26,4.8,5,0
1,65,1982,198203,55.34667,-165.785,B-04,123,123,7.9,3.9,12.72930974
1,65,1983,198303,55.01,-165.77467,A-04,134,134,7.7,4,16.03625645
1,65,1984,198402,54.98133,-166.946,A-02,163,163,8,4.4,14.97737307
1,66,1982,198203,55.00833,-165.74,A-04,132,132,7.7,4,22.33245044
1,66,1983,198303,57.99733,-167.18767,J-02,66,66,7.3,1.1,0
1,66,1984,198402,55.32067,-166.97883,B-02,144,144,8.2,4.4,14.54800683
1,67,1982,198203,55.00333,-166.94,A-02,159,159,7.9,3.9,9.524500815
1,67,1983,198303,57.67617,-167.129,I-02,71,71,7.5,1.5,0
1,67,1984,198402,55.65667,-166.9895,C-02,137,137,9.3,4.7,14.91867306
1,68,1982,198203,55.33,-166.97167,B-02,143,143,7.9,4,15.46649366
1,68,1983,198303,57.348,-167.12067,H-02,73,73,8.4,2,0
1,68,1984,198402,55.991,-167.00867,D-02,137,137,8.7,4.1,11.40408423
1,69,1982,198203,55.66333,-166.96833,C-02,137,137,6.9,3.9,17.58474765
1,69,1983,198303,57.01467,-167.08067,G-02,77,77,9.5,2.3,0
1,69,1984,198402,56.32683,-167.0265,E-02,117,117,8.5,3.3,11.45712675
1,70,1982,198203,56.00667,-167.025,D-02,141,141,7.2,4,17.83959907
1,70,1983,198303,56.6855,-167.04867,F-02,97,97,9.1,2.4,5.907768559
1,70,1984,198402,56.6565,-167.06767,F-02,99,99,8.3,2.5,0
1,71,1982,198203,56.32667,-167.01333,E-02,119,119,7.1,2.5,4.666113138
1,71,1983,198303,56.34583,-167.03483,E-02,117,117,9.1,3.9,22.79374847
1,71,1984,198402,56.98967,-167.09017,G-02,77,77,8.1,1.2,0
1,72,1982,198203,58.00633,-168.44367,J-18,73,73,5,2.2,0
1,72,1983,198303,56.011,-167.00433,D-02,137,137,9.4,4,24.63526336
1,72,1984,198402,57.319,-167.12067,H-02,73,73,7.2,1.2,0
1,73,1982,198203,58.3255,-168.46967,K-18,64,64,4.8,1.3,0
1,73,1983,198303,55.6785,-166.98917,C-02,137,137,10,4.1,14.93896699
1,73,1984,198402,57.65483,-167.14083,I-02,70,70,7.7,1.1,0
1,74,1982,198203,58.65367,-168.491,L-18,57,57,3.3,2.7,0
1,74,1983,198303,55.33267,-166.96883,B-02,143,143,9,4.2,10.47581988
1,74,1984,198402,57.98817,-167.165,J-02,66,66,7.5,0.7,0
1,75,1982,198203,58.984,-168.523,M-18,49,49,2.9,2.4,0
1,75,1983,198303,55.0015,-166.93333,A-02,159,159,9,4.2,11.08810013
1,75,1984,198402,58.32283,-167.18267,K-02,55,55,6.7,2.3,0
1,76,1982,198203,59.33483,-168.553,N-18,44,44,2.9,2.2,0
1,76,1983,198303,58.3175,-167.183,K-02,55,55,9.1,4.2,0
1,76,1984,198402,58.65217,-167.21617,L-02,46,46,5.6,3.2,0
1,77,1982,198203,59.661,-168.62333,O-18,40,40,2.7,2.2,0
1,77,1983,198303,58.65433,-167.21167,L-02,46,46,6.9,4.3,0
1,77,1984,198402,58.98683,-167.23983,M-02,42,42,5.8,3.6,0
1,78,1982,198203,59.98867,-168.65333,P-18,37,37,3.1,2.3,0
1,78,1983,198303,58.986,-167.22867,M-02,40,40,8.4,5.4,0
1,78,1984,198402,59.32,-167.27667,N-02,35,35,5.8,5.2,0
1,79,1982,198203,60.3205,-168.67417,Q-18,38,38,3.4,2.9,0
1,79,1983,198303,59.318,-167.25667,N-02,35,35,8.2,4.2,0
1,79,1984,198402,60.327,-168.66967,Q-18,38,38,5.1,0.1,0
1,80,1982,198203,59.67167,-167.305,O-02,33,33,5.2,4.3,0
1,80,1983,198303,59.65,-167.27867,O-02,33,33,7.2,6.4,0
1,80,1984,198402,59.99283,-168.6565,P-18,40,40,6.8,0.2,0
1,81,1982,198203,59.32117,-167.26817,N-02,35,35,4.3,3.1,0
1,81,1983,198303,60.33283,-168.68367,Q-18,38,38,7.4,4.3,0
1,81,1984,198402,59.68,-168.62183,O-18,42,42,6.7,0.1,0
1,82,1982,198203,59.00933,-167.24767,M-02,42,42,3.8,3,0
1,82,1983,198303,60.01467,-168.65633,P-18,40,40,6.3,3,0
1,82,1984,198402,59.34533,-168.575,N-18,46,46,5.9,1.6,0
1,83,1982,198203,58.678,-167.22717,L-02,42,42,2.9,3.1,0
1,83,1983,198303,59.6815,-168.61533,O-18,40,40,7.8,3.7,0
1,83,1984,198402,59.01233,-168.54267,M-18,48,48,5.1,2.8,0
1,84,1982,198203,58.35133,-167.19083,K-02,53,53,4.5,3,0
1,84,1983,198303,59.34267,-168.54167,N-18,44,44,9,3.7,0
1,84,1984,198402,58.6735,-168.506,L-18,55,55,6.2,2.3,0
1,85,1982,198203,57.9975,-167.16883,J-02,68,68,5.1,1.3,0
1,85,1983,198303,59.00283,-168.51,M-18,48,48,8.8,2.8,0
1,85,1984,198402,58.3455,-168.45483,K-18,68,68,7.2,0.8,0
1,86,1982,198203,57.67667,-167.14667,I-02,70,70,5.5,2.1,0
1,86,1983,198303,58.67767,-168.5095,L-18,55,55,9,2.2,0
1,86,1984,198402,58.008,-168.417,J-18,73,73,7.4,0.3,0
1,87,1982,198203,57.34333,-167.135,H-02,73,73,6.1,2.5,0
1,87,1983,198303,58.34217,-168.45417,K-18,68,68,9.2,1.4,0
1,87,1984,198402,57.83717,-168.66667,JI1918,73,73,7.2,0.1,0
1,88,1982,198203,57.00833,-167.08167,G-02,77,77,6.5,3,0
1,88,1983,198303,58.008,-168.4075,J-18,71,71,10.2,1.7,0
1,88,1984,198402,57.68467,-168.379,I-18,73,73,7.1,0.5,0
1,89,1982,198203,56.66333,-167.07667,F-02,99,99,6.6,2.5,0
1,89,1983,198303,57.84433,-168.6405,JI1918,73,73,10.2,2.5,0
1,89,1984,198402,57.50133,-168.63483,IH1918,73,73,7.5,1.7,0
1,90,1982,198203,57.83583,-168.68383,JI1918,73,73,6,2.3,0
1,90,1983,198303,57.67233,-168.41883,I-18,73,73,9.6,3,0
1,90,1984,198402,57.33683,-168.36,H-18,77,77,7.5,1.4,0.643353867
1,91,1982,198203,57.66867,-168.41833,I-18,73,73,6.3,2.5,0
1,91,1983,198303,57.51383,-168.65867,IH1918,73,73,9.6,3.2,0
1,91,1984,198402,57.1785,-168.61533,HG1918,80,80,7.4,1.5,3.092227115
1,92,1982,198203,57.50883,-168.641,IH1918,73,73,6.4,3.1,0
1,92,1983,198303,57.35183,-168.36933,H-18,77,77,9.6,3.1,8.53099236
1,92,1984,198402,57.0095,-168.31567,G-18,84,84,7.8,1.2,0
1,93,1982,198203,57.34217,-168.38783,H-18,77,77,7.3,3.4,0
1,93,1983,198303,57.17883,-168.6415,HG1918,79,79,9.6,2.8,1.448979626
1,93,1984,198402,56.83583,-168.6015,GF1918,101,101,7.8,2.6,5.768769268
1,94,1982,198203,57.17667,-168.62167,HG1918,79,79,8.9,3.4,0
1,94,1984,198402,56.667,-168.2905,F-18,110,110,7.9,2.6,11.25289249
1,95,1982,198203,57.01283,-168.34083,G-18,73,73,6.6,3.1,4.677209096
1,95,1983,198303,56.99333,-168.29667,G-18,84,84,9.3,2.6,0
1,95,1984,198402,56.33567,-168.2415,E-18,159,159,8.3,4.1,94.14064147
1,96,1982,198203,56.85233,-168.64883,GF1918,97,97,6.4,2.8,0
1,96,1983,198303,56.8455,-168.61833,GF1918,99,99,9.2,2.5,0
1,96,1984,198402,56.6415,-169.462,F-20,73,73,6.7,4.5,2.573228166
1,97,1982,198203,56.66,-168.31667,F-18,110,110,6.4,2.7,0
1,97,1983,198303,56.67267,-168.297,F-18,110,110,9.4,3.1,10.80273779
1,97,1984,198402,56.36717,-169.46833,E-20,137,137,7.7,4.1,17.27638347
1,98,1982,198203,56.345,-168.26333,E-18,155,155,6.5,4,22.24225827
1,98,1983,198303,56.34033,-168.23517,E-18,154,154,9.6,4,51.11668347
1,98,1984,198402,56.81617,-169.87517,GF2120,77,77,6.8,3.4,1.84325938
1,99,1982,198203,56.01167,-168.235,D-18,154,154,6.2,4.1,7.63733293
1,99,1983,198303,56.01383,-168.21517,D-18,154,154,8.1,4.1,12.00755918
1,99,1984,198402,56.98517,-169.57867,G-20,64,64,7.2,1.4,0
1,100,1982,198203,55.67867,-168.196,C-18,141,141,6.4,3.9,10.51986251
1,100,1983,198303,55.677,-168.18967,C-18,139,139,8.2,4.2,6.991253437
1,100,1984,198402,57.15,-169.89683,HG2120,49,49,6.1,4.5,0
1,101,1984,198402,57.32833,-169.619,H-20,66,66,7.7,1,1.924743873
1,102,1982,198203,56.66033,-169.5015,F-20,80,80,5.1,4.6,4.514958638
1,102,1983,198303,56.36367,-169.49967,E-20,137,137,11,3.9,23.55634249
1,102,1984,198402,57.5015,-169.97217,IH2120,71,71,7.2,1.3,0.465782239
1,103,1984,198402,57.66183,-169.63983,I-20,73,73,6.8,0,0
1,104,1982,198203,56.842,-169.92817,GF2120,73,73,5.8,4.5,4.772167628
1,104,1983,198303,56.67283,-169.50567,F-20,80,80,7.1,4.9,41.58727713
1,104,1984,198402,57.8255,-170.01417,JI2120,75,75,6.6,1.2,0
1,105,1983,198303,56.83183,-169.87767,GF2120,75,75,8.4,4.2,16.03904505
1,105,1984,198402,57.9985,-169.688,J-20,73,73,6.6,0,0
1,106,1982,198203,57.015,-169.52283,G-20,64,64,5.6,3.8,0
1,106,1983,198303,56.98883,-169.57517,G-20,62,62,8.4,3.5,6.374436565
1,106,1984,198402,58.33417,-169.71417,K-20,71,71,6.7,0.2,0
1,107,1982,198203,57.142,-169.90583,HG2120,46,46,4.6,4.4,0
1,107,1983,198303,57.16717,-169.85733,HG2120,51,51,7,4.5,0
1,107,1984,198402,58.668,-169.77783,L-20,70,70,6.9,0.3,0
1,108,1982,198203,57.31667,-169.60833,H-20,62,62,4.3,2.2,0
1,108,1983,198303,57.32533,-169.61567,H-20,64,64,8.6,2.7,13.16896577
1,108,1984,198402,59.00167,-169.83283,M-20,66,66,5.5,0.5,0
1,109,1982,198203,57.48983,-169.97567,IH2120,77,77,5.8,2.6,0
1,109,1983,198303,57.48483,-169.99267,IH2120,70,70,9.5,3.2,0
1,109,1984,198402,59.32867,-169.88983,N-20,64,64,6,0.7,0
1,110,1982,198203,57.66583,-169.67833,I-20,73,73,4.9,2.9,0
1,110,1983,198303,57.65467,-169.67883,I-20,73,73,9.7,3.1,7.59651563
1,110,1984,198402,59.66083,-169.92417,O-20,59,59,6.7,-0.4,0
1,111,1982,198203,57.83583,-169.9935,JI2120,75,75,5.8,1.3,0
1,111,1983,198303,57.82783,-169.99333,JI2120,75,75,9.7,1.7,0
1,111,1984,198402,59.98717,-169.9555,P-20,57,57,6.4,-1.4,0
1,112,1982,198203,58.00233,-169.69783,J-20,73,73,5,2.4,0
1,112,1983,198303,57.9885,-169.68117,J-20,73,73,9.6,2.4,0
1,112,1984,198402,60.328,-170.01117,Q-20,55,55,6.8,-1.4,0
1,113,1982,198203,58.32433,-169.72683,K-20,71,71,5.6,0.8,0
1,113,1983,198303,58.32217,-169.72133,K-20,71,71,9.8,1.3,0
1,113,1984,198402,60.65183,-171.4105,R-22,66,66,5.8,-1.2,0
1,114,1982,198203,58.65433,-169.781,L-20,70,70,5.5,0,0
1,114,1983,198303,58.6565,-169.77467,L-20,70,70,9.5,1.1,0
1,114,1984,198402,60.66167,-172.1055,R-23,64,64,5.6,-1.4,0
1,115,1982,198203,58.98767,-169.839,M-20,66,66,6,2,0
1,115,1983,198303,58.98867,-169.83217,M-20,66,66,9.2,1,0
1,115,1984,198402,60.65767,-172.70767,R-24,49,49,5.6,-0.3,0
1,116,1982,198203,59.32233,-169.87017,N-20,62,62,4.7,1.5,0
1,116,1983,198303,59.322,-169.858,N-20,62,62,9.2,1.5,0
1,116,1984,198402,60.98533,-172.81483,S-24,70,70,5.5,-1.2,0
1,117,1982,198203,59.66117,-169.898,O-20,59,59,5.3,1.5,0
1,117,1983,198303,59.6595,-169.90867,O-20,59,59,9.3,1.1,0
1,117,1984,198402,60.999,-172.16967,S-23,66,66,6.1,-1,0
1,118,1982,198203,59.99767,-169.96733,P-20,57,57,5.5,1.5,0
1,118,1983,198303,59.986,-169.96367,P-20,57,57,9.4,1,0
1,118,1984,198402,61.01367,-171.44033,S-22,66,66,6.1,-0.9,0
1,119,1982,198203,60.32317,-169.96567,Q-20,53,53,5.4,1.8,0
1,119,1983,198303,60.31983,-170.00067,Q-20,53,53,10,0.3,0
1,119,1984,198402,60.3235,-171.3695,Q-22,70,70,6.3,-1.3,0
1,120,1982,198203,60.3425,-171.35017,Q-22,70,70,4.6,-0.6,0
1,120,1983,198303,61.003,-171.40717,S-22,62,62,10,-1,0
